Date,seep_ppb,stream
3-May-99,187,WS53
19-May-99,306,WS53
4-Jun-99,230,WS53
15-Jun-99,250,WS53
30-Jun-99,173,WS53
14-Jul-99,214,WS53
28-Jul-99,259,WS53
8-Aug-99,179,WS53
26-Aug-99,457,WS53
8-Sep-99,362,WS53
22-Sep-99,247,WS53
6-Oct-99,696,WS53
21-Oct-99,241,WS53
3-Nov-99,205,WS53
17-Nov-99,249,WS53
1-Dec-99,172,WS53
15-Dec-99,285,WS53
20-Dec-99,156,WS53
5-Jan-00,120,WS53
19-Jan-00,160,WS53
9-Feb-00,507,WS53
16-Feb-00,234,WS53
1-Mar-00,238,WS53
14-Mar-00,238,WS53
28-Mar-00,236,WS53
11-Apr-00,253,WS53
26-Apr-00,214,WS53
9-May-00,314,WS53
22-May-00,347,WS53
8-Jun-00,286,WS53
20-Jun-00,296,WS53
6-Jul-00,246,WS53
19-Jul-00,287,WS53
3-Aug-00,258,WS53
17-Aug-00,310,WS53
29-Aug-00,11,WS53
12-Sep-00,271,WS53
26-Sep-00,29,WS53
11-Oct-00,58,WS53
24-Oct-00,40,WS53
11-Nov-00,69,WS53
21-Nov-00,54,WS53
6-Dec-00,39,WS53
21-Dec-00,,WS53
3-Jan-01,,WS53
17-Jan-01,52,WS53
31-Jan-01,58,WS53
19-Feb-01,24,WS53
27-Feb-01,197,WS53
13-Mar-01,289,WS53
28-Mar-01,16,WS53
10-Apr-01,24,WS53
25-Apr-01,13,WS53
10-May-01,19,WS53
23-May-01,25,WS53
6-Jun-01,96,WS53
19-Jun-01,33,WS53
4-Jul-01,47,WS53
18-Jul-01,68,WS53
6-Aug-01,,WS53
15-Aug-01,202,WS53
29-Aug-01,17,WS53
14-Sep-01,94,WS53
26-Sep-01,,WS53
9-Oct-01,,WS53
26-Oct-01,119,WS53
7-Nov-01,,WS53
20-Nov-01,382,WS53
5-Dec-01,373,WS53
19-Dec-01,827,WS53
4-Jan-02,14,WS53
28-Jan-02,55,WS53
7-Feb-02,75,WS53
21-Feb-02,1,WS53
6-Mar-02,38,WS53
20-Mar-02,6,WS53
4-Apr-02,61,WS53
23-Apr-02,68,WS53
9-May-02,52,WS53
22-May-02,37,WS53
7-Jun-02,,WS53
19-Jun-02,11,WS53
2-Jul-02,100,WS53
24-Jul-02,38,WS53
7-Aug-02,62,WS53
21-Aug-02,69,WS53
4-Sep-02,29,WS53
18-Sep-02,105,WS53
9-Oct-02,199,WS53
23-Oct-02,17,WS53
6-Nov-02,11,WS53
20-Nov-02,17,WS53
3-Dec-02,14,WS53
20-Dec-02,92,WS53
8-Jan-03,ACL error,WS53
