sample.type,sample.day,sample.month,sample.year,sample.date,stream,position.in.stream,doc.ppm,glass.or.plastic
doc,16,1,2018,2018-01-16,TOWR,seep,1.78,unknown
doc,29,1,2018,2018-01-29,TOWR,flume,0.62,unknown
doc,29,1,2018,2018-01-29,TOWR,flume,0.83,unknown
doc,29,1,2018,2018-01-29,TOWR,seep,0.56,unknown
doc,29,1,2018,2018-01-29,TOWR,seep,0.78,unknown
doc,29,1,2018,2018-01-29,WS55,flume,0.59,unknown
doc,29,1,2018,2018-01-29,WS55,seep,0.12,unknown
doc,12,2,2018,2018-02-12,TOWR,flume,0.47,plastic
doc,12,2,2018,2018-02-12,TOWR,flume,0.26,glass
doc,12,2,2018,2018-02-12,TOWR,seep,0.13,plastic
doc,12,2,2018,2018-02-12,TOWR,seep,1.91,glass
doc,12,2,2018,2018-02-12,WS55,flume,0.38,glass
doc,12,2,2018,2018-02-12,WS55,seep,0.01,glass
doc,13,2,2018,2018-02-13,TOWR,flume,0.32,glass
doc,26,2,2018,2018-02-26,TOWR,flume,1.47,plastic
doc,26,2,2018,2018-02-26,TOWR,flume,0.39,glass
doc,26,2,2018,2018-02-26,TOWR,seep,0.11,glass
doc,26,2,2018,2018-02-26,WS55,flume,0.25,glass
doc,26,2,2018,2018-02-26,WS55,seep,0,glass
doc,13,3,2018,2018-03-13,TOWR,flume,0.22,plastic
doc,13,3,2018,2018-03-13,TOWR,seep,0,glass
doc,13,3,2018,2018-03-13,WS55,flume,0.15,glass
doc,13,3,2018,2018-03-13,WS55,seep,0,glass
doc,26,3,2018,2018-03-26,TOWR,flume,0.17,glass
doc,26,3,2018,2018-03-26,TOWR,seep,0,glass
doc,26,3,2018,2018-03-26,WS55,flume,0.08,glass
doc,26,3,2018,2018-03-26,WS55,seep,0,glass
doc,9,4,2018,2018-04-09,TOWR,flume,1.82,glass
doc,9,4,2018,2018-04-09,TOWR,flume,0.27,plastic
doc,9,4,2018,2018-04-09,TOWR,seep,0,glass
doc,9,4,2018,2018-04-09,TOWR,seep,0,plastic
doc,9,4,2018,2018-04-09,WS55,flume,0.05,glass
doc,9,4,2018,2018-04-09,WS55,flume,0.06,plastic
doc,9,4,2018,2018-04-09,WS55,seep,0,glass
doc,9,4,2018,2018-04-09,WS55,seep,0.02,plastic
doc,25,4,2018,2018-04-25,TOWR,flume,0.31,glass
doc,25,4,2018,2018-04-25,TOWR,flume,0.33,plastic
doc,25,4,2018,2018-04-25,TOWR,seep,0.05,glass
doc,25,4,2018,2018-04-25,WS55,flume,0.11,glass
doc,25,4,2018,2018-04-25,WS55,seep,0,glass
doc,8,5,2018,2018-05-08,TOWR,flume,0.507,plastic
doc,8,5,2018,2018-05-08,TOWR,seep,0.13,plastic
doc,8,5,2018,2018-05-08,WS55,flume,0.324,plastic
doc,8,5,2018,2018-05-08,WS55,seep,0.09,plastic
doc,28,5,2018,2018-05-28,TOWR,flume,0.909,plastic
doc,28,5,2018,2018-05-28,TOWR,seep,0.411,plastic
doc,28,5,2018,2018-05-28,WS55,flume,0.91,plastic
doc,28,5,2018,2018-05-28,WS55,seep,0.039,plastic
doc,19,6,2018,2018-06-19,TOWR,flume,0.431,plastic
doc,19,6,2018,2018-06-19,TOWR,seep,0.184,plastic
doc,19,6,2018,2018-06-19,WS55,seep,0.106,plastic
doc,19,6,2018,2018-06-19,WS55,flume,0.25,plastic
doc,3,7,2018,2018-07-03,TOWR,flume,0.665,plastic
doc,3,7,2018,2018-07-03,TOWR,seep,0.33,plastic
doc,3,7,2018,2018-07-03,WS55,flume,0.346,plastic
doc,3,7,2018,2018-07-03,WS55,seep,0,plastic
