"","sample.type","sample.day","sample.mo","sample.yr","sample.date","organic.matter.fraction","trap.no","stream","days.deployed","total.field.wt","field.sub.wet.wt.g","field.sub.prop","pan.wt.g","om.total.dry.wt.g","om.sub.dry.pan.wt.g","om.sub.ash.pan.wt.g","sub.prop.total","sub.prop.afdm","total.afdm.g","areal.AFDM.input.g.m2","areal.AFDM.input.g.m2.d"
"1","DINP",1,11,2017,2017-11-01,"LEAF",1,"TOWR",19,NA,NA,NA,1.7531,9.73,5.16,1.9591,0.350143884892086,0.93953447415539,9.14167043353195,76.5255509592973,4.02766057680512
"3","DINP",1,11,2017,2017-11-01,"MISC",1,"TOWR",19,NA,NA,NA,1.7906,0.7439,2.5354,1.8049,1.00120984003226,0.980800214822771,0.72961727980666,6.10767635221525,0.321456650116592
"5","DINP",1,11,2017,2017-11-01,"WOOD",1,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"7","DINP",1,11,2017,2017-11-01,"LEAF",2,"TOWR",19,NA,NA,NA,1.7551,15.35,5.1525,1.956,0.221328990228013,0.940866545005004,14.4423014658268,120.897497325952,6.3630261750501
"9","DINP",1,11,2017,2017-11-01,"MISC",2,"TOWR",19,NA,NA,NA,2.0296,0.223,2.2532,2.0363,1.00269058295964,0.970035778175311,0.216317978533094,1.81081265289617,0.0953059290997986
"10","DINP",1,11,2017,2017-11-01,"MISC",2,"TOWR",19,NA,NA,NA,1.7365,0.2563,1.9931,1.7409,1.00117050331643,0.982852689010133,0.251905144193297,2.10871526041498,0.110985013706052
"12","DINP",1,11,2017,2017-11-01,"WOOD",2,"TOWR",19,NA,NA,NA,1.998,0.132,2.1295,2.0085,0.996212121212122,0.920152091254752,0.121460076045627,1.01675063726386,0.0535131914349398
"14","DINP",1,11,2017,2017-11-01,"LEAF",3,"TOWR",19,NA,NA,NA,1.9933,10.73,6.1198,2.2322,0.38457595526561,0.942105900884527,10.108796316491,84.6214281382607,4.45375937569793
"16","DINP",1,11,2017,2017-11-01,"MISC",3,"TOWR",19,NA,NA,NA,1.7783,0.0703,1.8492,1.78,1.00853485064011,0.976022566995768,0.0686143864598025,0.574375740817629,0.0302303021482963
"17","DINP",1,11,2017,2017-11-01,"MISC",3,"TOWR",19,NA,NA,NA,1.7392,0.2838,2.0232,1.7501,1.00070472163495,0.961619718309859,0.272907676056338,2.28452889688825,0.120238362994119
"19","DINP",1,11,2017,2017-11-01,"WOOD",3,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"21","DINP",1,11,2017,2017-11-01,"LEAF",4,"TOWR",19,NA,NA,NA,1.7738,5.39,4.6539,1.9295,0.534341372912801,0.945939377104962,5.09861324259574,42.6808415764844,2.24636008297286
"23","DINP",1,11,2017,2017-11-01,"MISC",4,"TOWR",19,NA,NA,NA,2.0466,0.7668,2.8134,2.0623,1,0.979525299947835,0.7511,6.28750967817607,0.330921562009267
"25","DINP",1,11,2017,2017-11-01,"WOOD",4,"TOWR",19,NA,NA,NA,1.7589,1.4293,3.1883,1.7936,1.0000699643182,0.97572408003358,1.394602427592,11.6743126889795,0.614437509946291
"27","DINP",1,11,2017,2017-11-01,"LEAF",5,"TOWR",19,NA,NA,NA,1.7825,7.41,5.4596,1.9926,0.496234817813765,0.942862581925974,6.98661173207147,58.4854065810915,3.07817929374166
"29","DINP",1,11,2017,2017-11-01,"MISC",5,"TOWR",19,NA,NA,NA,1.7397,0.2746,2.0137,1.7454,0.997815003641661,0.979197080291971,0.268887518248175,2.25087587981114,0.118467151569007
"31","DINP",1,11,2017,2017-11-01,"WOOD",5,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"33","DINP",1,11,2017,2017-11-01,"LEAF",6,"TOWR",19,NA,NA,NA,1.9452,9.991,5.5607,2.1384,0.361875688119307,0.946563407550823,9.45711500484027,79.1661591273564,4.16663995407139
"35","DINP",1,11,2017,2017-11-01,"MISC",6,"TOWR",19,NA,NA,NA,1.7373,0.2218,1.9592,1.7424,1.00045085662759,0.977016674177558,0.216702298332582,1.814029820329,0.0954752537015262
"37","DINP",1,11,2017,2017-11-01,"WOOD",6,"TOWR",19,NA,NA,NA,1.7596,0.3512,2.111,1.7774,1.000569476082,0.94934547524189,0.333410130904952,2.79099910114077,0.146894689533725
"39","DINP",1,11,2017,2017-11-01,"LEAF",7,"TOWR",19,NA,NA,NA,1.9579,11.56,5.4875,2.1138,0.305328719723183,0.955830689029918,11.0494027651859,92.4953093119046,4.86817417431077
"41","DINP",1,11,2017,2017-11-01,"MISC",7,"TOWR",19,NA,NA,NA,2.1616,1.0123,3.1739,2.1883,1,0.973624419638447,0.9856,8.25052528133449,0.434238172701815
"42","DINP",1,11,2017,2017-11-01,"MISC",7,"TOWR",19,NA,NA,NA,1.7285,0.4239,2.1523,1.7401,0.999764095305496,0.972628598395469,0.412297262859839,3.4513686999291,0.181650984206795
"44","DINP",1,11,2017,2017-11-01,"WOOD",7,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"46","DINP",1,11,2017,2017-11-01,"LEAF",8,"TOWR",19,NA,NA,NA,2.1256,10.73,6.35,2.3484,0.393699906803355,0.947258782312281,10.1640867342108,85.0842680217964,4.47811936956823
"48","DINP",1,11,2017,2017-11-01,"MISC",8,"TOWR",19,NA,NA,NA,2.0183,0.2814,2.3,2.0293,1.00106609808102,0.960951366702165,0.270411714589989,2.26363503205531,0.119138685897648
"50","DINP",1,11,2017,2017-11-01,"WOOD",8,"TOWR",19,NA,NA,NA,1.7498,0.1856,1.9354,1.757,1,0.961206896551725,0.1784,1.49339865076103,0.0785999289874228
"52","DINP",1,11,2017,2017-11-01,"LEAF",9,"TOWR",19,NA,NA,NA,2.0491,9.14,7.0406,2.2834,0.546115973741794,0.953060202343985,8.71097024942402,72.9201301418684,3.83790158641413
"54","DINP",1,11,2017,2017-11-01,"MISC",9,"TOWR",19,NA,NA,NA,2.0571,0.088,2.1448,2.0588,0.996590909090908,0.980615735461801,0.0862941847206385,0.722374546134108,0.0380197129544267
"56","DINP",1,11,2017,2017-11-01,"WOOD",9,"TOWR",19,NA,NA,NA,1.7609,0.74,2.5008,1.7901,0.999864864864865,0.960535207460467,0.710796053520746,5.95012257451877,0.313164346027304
"58","DINP",1,11,2017,2017-11-01,"LEAF",10,"TOWR",19,NA,NA,NA,1.7379,10.91,6.1409,1.9818,0.403574702108158,0.944605950488303,10.3056509198274,86.2693115408319,4.54049008109642
"60","DINP",1,11,2017,2017-11-01,"MISC",10,"TOWR",19,NA,NA,NA,2.0231,0.0935,2.1171,2.0267,1.00534759358289,0.961702127659574,0.0899191489361702,0.752719370509287,0.039616808974173
"61","DINP",1,11,2017,2017-11-01,"MISC",10,"TOWR",19,NA,NA,NA,1.738,0.0221,1.7599,1.7386,0.990950226244345,0.972602739726031,0.0214945205479453,0.179932107539556,0.00947011092313452
"63","DINP",1,11,2017,2017-11-01,"WOOD",10,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"71","DINP",1,11,2017,2017-11-01,"LEAF",1,"WS55",19,NA,NA,NA,1.9394,4.26,4.9021,2.0544,0.695469483568075,0.961184055084889,4.09464407466163,34.2765467289592,1.80402877520838
"73","DINP",1,11,2017,2017-11-01,"MISC",1,"WS55",19,NA,NA,NA,2.0027,0.0863,2.0887,2.0031,0.996523754345305,0.995348837209303,0.0858986046511628,0.71906311820797,0.0378454272741037
"75","DINP",1,11,2017,2017-11-01,"WOOD",1,"WS55",19,NA,NA,NA,1.7501,0.1137,1.864,1.7545,1.00175901495163,0.961369622475856,0.109307726075505,0.91502248115984,0.0481590779557811
"77","DINP",1,11,2017,2017-11-01,"LEAF",2,"WS55",19,NA,NA,NA,2.0457,6.52,4.9741,2.181,0.449141104294479,0.953797295451441,6.2187583663434,52.057653327949,2.73987649094469
"79","DINP",1,11,2017,2017-11-01,"MISC",2,"WS55",19,NA,NA,NA,2.0899,0.0298,2.1197,2.0896,0.999999999999994,1.01006711409397,0.0301000000000002,0.251969166972575,0.0132615351038197
"81","DINP",1,11,2017,2017-11-01,"WOOD",2,"WS55",19,NA,NA,NA,2.152,0.4118,2.5634,2.1722,0.999028654686741,0.950899368011668,0.391580359747205,3.27794608133966,0.172523477965245
"83","DINP",1,11,2017,2017-11-01,"LEAF",3,"WS55",19,NA,NA,NA,2.1306,6.06,5.2613,2.2642,0.516617161716172,0.957325837672086,5.80139457629284,48.5638723809871,2.55599328320985
"85","DINP",1,11,2017,2017-11-01,"MISC",3,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"87","DINP",1,11,2017,2017-11-01,"WOOD",3,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"89","DINP",1,11,2017,2017-11-01,"LEAF",4,"WS55",19,NA,NA,NA,1.7488,6.09,5.2078,1.9142,0.567980295566502,0.952182711766406,5.79879271465741,48.5420920185666,2.55484694834561
"91","DINP",1,11,2017,2017-11-01,"MISC",4,"WS55",19,NA,NA,NA,1.7481,0.0224,1.7707,1.7484,1.00892857142857,0.986725663716816,0.0221026548672567,0.185022841687208,0.00973804429932673
"93","DINP",1,11,2017,2017-11-01,"WOOD",4,"WS55",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
