"","sample.type","sample.day","sample.mo","sample.yr","sample.date","organic.matter.fraction","trap.no","stream","days.deployed","total.field.wt","field.sub.wet.wt.g","field.sub.prop","pan.wt.g","om.total.dry.wt.g","om.sub.dry.pan.wt.g","om.sub.ash.pan.wt.g","sub.prop.total","sub.prop.afdm","total.afdm.g","areal.AFDM.input.g.m","areal.AFDM.input.g.m.d"
"2","LINP",1,11,2017,2017-11-01,"LEAF",1,"TOWR",19,NA,NA,NA,1.7396,4.32,4.4891,1.893,0.636458333333333,0.944208037825059,4.07897872340426,8.15795744680851,0.429366181410974
"4","LINP",1,11,2017,2017-11-01,"MISC",1,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"6","LINP",1,11,2017,2017-11-01,"WOOD",1,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"8","LINP",1,11,2017,2017-11-01,"LEAF",2,"TOWR",19,NA,NA,NA,2.049,15.16,5.3377,2.2719,0.2169327176781,0.932222458722291,14.1324924742299,28.2649849484599,1.48763078676105
"11","LINP",1,11,2017,2017-11-01,"MISC",2,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"13","LINP",1,11,2017,2017-11-01,"WOOD",2,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"15","LINP",1,11,2017,2017-11-01,"LEAF",3,"TOWR",19,NA,NA,NA,1.7387,10,6.0194,1.9822,0.42807,0.943116779965893,9.43116779965893,18.8623355993179,0.992754505227256
"18","LINP",1,11,2017,2017-11-01,"MISC",3,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"20","LINP",1,11,2017,2017-11-01,"WOOD",3,"TOWR",19,NA,NA,NA,2.0075,1.3997,3.4073,2.0974,1.00007144388083,0.935776539505644,1.30980642234605,2.6196128446921,0.137874360246953
"22","LINP",1,11,2017,2017-11-01,"LEAF",4,"TOWR",19,NA,NA,NA,1.7567,2.52,3.7975,1.8518,0.80984126984127,0.953400627205018,2.40256958055664,4.80513916111329,0.252902061111226
"24","LINP",1,11,2017,2017-11-01,"MISC",4,"TOWR",19,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"26","LINP",1,11,2017,2017-11-01,"WOOD",4,"TOWR",19,NA,NA,NA,1.7597,2.8057,4.566,1.8223,1.00021385037602,0.97769304778534,2.74311338417133,5.48622676834266,0.288748777281192
