Boat_ID,Boat wt (g),Stream,Core,Sample_Date,OM_Type,Sorting Date,Dry_Mass,Ashed,Warm,NOTES
SR 4-1,1.6511,TOWR,2,5/14/2018,MOSS,5/29/2018,NA,NA,N,NONE
SR 5-2,1.6496,TOWR,2,5/14/2018,WOOD,5/29/2018,4.6435,1.7673,N,
SR 3-1,1.661,TOWR,2,5/14/2018,LEAF,5/29/2018,2.0871,1.6816,N,
SR 3-2,1.6595,TOWR,2,5/14/2018,FLWR,5/29/2018,NA,NA,N,NONE
SR 2-2,1.6555,TOWR,2,5/14/2018,MISC,5/29/2018,8.3637,7.4681,N,
A71,1.8092,TOWR,2,5/14/2018,ROOT,5/29/2018,2.3911,1.8319,N,
B01,6.6267,WS55,5,5/14/2018,LEAF,5/30/2018,10.9296,6.8734,N,
T03,6.5821,WS55,5,5/14/2018,WOOD,5/30/2018,10.8309,6.7465,N,
SR 1-2 ,1.6693,WS55,5,5/14/2018,MOSS,5/30/2018,NA,NA,N,NONE
A21,1.8221,WS55,5,5/14/2018,MISC,5/30/2018,9.7372,7.8955,N,
BM 4-2,1.6481,WS55,5,5/14/2018,FLWR,5/30/2018,3.3124,1.7746,N,
TS 2-2,1.6481,WS55,5,5/14/2018,ROOT,5/30/2018,1.856,1.6541,N,
E 66.6,13.834,TOWR,3,5/14/2018,WOOD,5/30/2018,43.58,14.445,N,
JE 1-2,1.749,TOWR,3,5/14/2018,MOSS,5/30/2018,NA,NA,N,NONE
TS 5-2,1.752,TOWR,3,5/14/2018,FLWR,5/30/2018,3.6731,1.849,N,
4SSJ,1.6469,TOWR,3,5/14/2018,MISC,5/30/2018,3.9584,2.2783,N,
54ST,1.6473,TOWR,3,5/14/2018,ROOT,5/30/2018,2.5078,1.7343,N,
JE 2-1,1.7493,TOWR,3,5/14/2018,LEAF,5/30/2018,2.126,1.7631,N,
F07,6.6258,TOWR,1,5/14/2018,WOOD,5/30/2018,8.1449,6.73,N,
A07,6.6071,TOWR,1,5/14/2018,ROOT,5/30/2018,13.6775,6.893,N,
61SJ,1.6487,TOWR,1,5/14/2018,FLWR,5/30/2018,1.7215,1.6486,N,
A12,1.8123,TOWR,1,5/14/2018,LEAF,5/30/2018,2.5518,1.8424,N,
JE 1-1,1.7559,TOWR,1,5/14/2018,MOSS,5/30/2018,NA,NA,N,NO MOSS
A65,1.8122,TOWR,1,5/14/2018,MISC,5/30/2018,32.8301,29.9575,N,
64SJ,1.6603,WS55,4,5/14/2018,MOSS,5/30/2018,1.6607,1.6591,N,
A93,1.7949,WS55,4,5/14/2018,WOOD,5/30/2018,10.9155,2.094,N,
36SJ,1.6465,WS55,4,5/14/2018,LEAF,5/30/2018,1.9212,1.661,N,
A58,1.7589,WS55,4,5/14/2018,ROOT,5/30/2018,2.4334,1.8423,N,
9SJ,1.6577,WS55,4,5/14/2018,FLWR,5/30/2018,1.7865,1.6588,N,
A44,1.8224,WS55,4,5/14/2018,MISC,5/30/2018,4.854,2.543,N,
F01,6.6036,TOWR,5,5/14/2018,ROOT,6/5/2018,11.52,6.8036,N,
