"","Jdate","basin_id","term","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","sigma","statistic.y","p.value.y","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1",1,"BallCreek","regression coefficient",0.0298115193736147,0.00385372227040363,7.73577265870076,3.94068259207212e-07,0.768762895419105,0.755916389609055,452.707661301744,NA,NA,NA,-142.635878508394,289.271757016788,291.160634975121,3688996.0788233,18,19
"2",1,"ShopeFork","regression coefficient",0.0365592171722818,0.00392209791780976,9.3213422862981,1.29868818655474e-09,0.776561122340413,0.76762356723403,211.575787584408,NA,NA,NA,-175.601697561175,355.203395122351,357.719588198394,1119107.84729907,25,26
"3",2,"BallCreek","regression coefficient",0.0297749344439886,0.00382868313515206,7.77680821131888,3.65824839741572e-07,0.770638536831677,0.757896233322325,449.766243221927,NA,NA,NA,-142.512025306364,289.024050612727,290.91292857106,3641214.12375538,18,19
"4",2,"ShopeFork","regression coefficient",0.0366488094269312,0.00392431785032002,9.338899351372,1.25160294507756e-09,0.777213466608075,0.768302005272398,211.695540833584,NA,NA,NA,-175.61640956434,355.23281912868,357.749012204723,1120375.05022059,25,26
"5",3,"BallCreek","regression coefficient",0.0296613406376537,0.00382238298814342,7.75990808081232,3.77192633506302e-07,0.769868567940118,0.757083488381236,449.026147123139,NA,NA,NA,-142.480734812127,288.961469624253,290.850347582586,3629240.65440451,18,19
"6",3,"ShopeFork","regression coefficient",0.0365656253954862,0.0039575235194109,9.23952194248215,1.54339218582664e-09,0.773486639669839,0.764426105256633,213.486805543796,NA,NA,NA,-175.835483373039,355.670966746077,358.18715982212,1139415.40353237,25,26
"7",4,"BallCreek","regression coefficient",0.0294304372858201,0.00384439339602035,7.65541770940664,4.56140448064922e-07,0.765029681604548,0.751975775027023,451.611772026829,NA,NA,NA,-142.589828615737,289.179657231475,291.068535189808,3671157.46739783,18,19
"8",4,"ShopeFork","regression coefficient",0.0364855601493503,0.00399139967459842,9.14104402562021,1.90200677335701e-09,0.769709813657655,0.760498206203961,215.314239321414,NA,NA,NA,-176.057094614153,356.114189228306,358.630382304349,1159005.54136398,25,26
"9",5,"BallCreek","regression coefficient",0.0294364015387287,0.00381049737660263,7.72508117167991,4.01793072093028e-07,0.768270813574636,0.755396969884338,447.629910698658,NA,NA,NA,-142.421562706445,288.84312541289,290.732003371223,3606705.66513759,18,19
"10",5,"ShopeFork","regression coefficient",0.0364095623900665,0.00402576757935095,9.04412926787409,2.33907470812731e-09,0.765909436597941,0.756545814061858,217.168200305566,NA,NA,NA,-176.280009009943,356.560018019886,359.076211095928,1179050.68059896,25,26
