"","type","scenario","frag_mod","tempC","Q_outlet","kA_avg","kR_avg","C_StStock_gC_total","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","C_gw_gC","WS_bentic_area_m2","max_breakdown_daily","min_breakdown_daily","max_StStock_daily","min_StStock_daily","Jdate","WS_benthic_area_m2","det_max_range"
"1","Acer","Base","M",18.0625,6119.2688335191,0.0258786840514095,0.00920739967932279,17127993.2752254,699972.00661647,254210.985614391,60044.3520711568,194777.412500324,24661.6436391984,164348.992952441,273102.085309373,242822.222839115,17674797.6312328,16328991.0198952,365,164348.992952441,30279.862470258
"2","Acer","ShalGW","M",17.5,6119.2688335191,0.0247244819311567,0.00853797950586594,16852189.3557101,699972.00661647,262608.735510111,65579.3526371073,197483.91973367,24661.6436391984,164348.992952441,280694.677587289,250508.550564919,17454120.841148,16085635.216913,365,164348.992952441,30186.1270223694
"3","Acer","DeepGW","M",16,6119.2688335191,0.0222509768666233,0.00716443641812265,17376006.8941928,699972.00661647,258543.233671064,60797.2119372185,197860.915875194,24661.6436391984,164348.992952441,277884.542232237,246302.324996539,17903728.9274592,16666026.736825,365,164348.992952441,31582.2172356973
"4","Acer","NoGW","M",22,6119.2688335191,0.0354044599848935,0.0154342097573662,17564569.2235647,699972.00661647,226313.827242096,45645.3277436048,181932.425258556,24661.6436391984,164348.992952441,244067.921913292,215382.426368409,18121302.6289603,16866708.8590377,365,164348.992952441,28685.4955448834
"5","Acer","NoGW_Warm","M",24,6119.2688335191,0.041877485615013,0.0204244694011933,16767141.4907191,699972.00661647,245841.008478684,58204.5878137841,189066.920927524,24661.6436391984,164348.992952441,262670.363453772,234289.394919916,17362931.562074,16025453.4186459,365,164348.992952441,28380.9685338559
"6","Acer","DeepGW_Warm","M",16.5,6119.2688335191,0.0230798234614844,0.00760705989235719,17156964.3202151,699972.00661647,263942.021746609,64483.0367941569,199465.792497749,24661.6436391984,164348.992952441,283316.538988176,251227.300965687,17708153.109376,16389993.2338967,365,164348.992952441,32089.2380224889
"7","Acer","ShalGW_Warm","M",19.5,6119.2688335191,0.0288142287231191,0.01099250816954,15947004.3577344,699972.00661647,285098.56452417,82392.7970591229,203241.130594301,24661.6436391984,164348.992952441,304896.659575144,270553.218907064,16673594.4739699,14996839.5513297,365,164348.992952441,34343.4406680801
"8","Rhodo","ShalGW","M",17.5,6119.2688335191,0.0247244819311567,0.00853797950586594,28963493.0714034,699972.00661647,131786.704026753,45558.300291162,89332.9409408148,24661.6436391984,164348.992952441,135091.567343246,127477.52151907,30183947.2392256,27473481.0419934,365,164348.992952441,7614.04582417605
"9","Rhodo","DeepGW","M",16,6119.2688335191,0.0222509768666233,0.00716443641812265,29901352.250527,699972.00661647,122319.459680252,38226.0306754947,87427.0664981821,24661.6436391984,164348.992952441,123777.135107277,119299.048050564,31048430.9519987,28614160.3958892,365,164348.992952441,4478.08705671302
"10","Rhodo","NoGW","M",22,6119.2688335191,0.0354044599848935,0.0154342097573662,27875359.8135533,699972.00661647,198002.132107603,94218.0443334378,110960.259933913,24661.6436391984,164348.992952441,219615.627453711,180404.601640498,29354906.4904187,26232662.4326433,365,164348.992952441,39211.0258132129
"11","Rhodo","NoGW_Warm","M",24,6119.2688335191,0.041877485615013,0.0204244694011933,25571152.4007334,699972.00661647,196732.743909327,104240.00460826,104386.820083481,24661.6436391984,164348.992952441,225871.10188513,178422.787328857,27005928.3488798,24209721.3856545,365,164348.992952441,47448.3145562734
"12","Rhodo","DeepGW_Warm","M",16.5,6119.2688335191,0.0230798234614844,0.00760705989235719,29114849.6085729,699972.00661647,122617.835727911,39821.6148623919,88241.972650922,24661.6436391984,164348.992952441,124408.447849746,120461.595269046,30146884.9991042,27799098.5416894,365,164348.992952441,3946.85258069904
"13","Rhodo","ShalGW_Warm","M",19.5,6119.2688335191,0.0288142287231191,0.01099250816954,25885210.337126,699972.00661647,131330.139315602,51454.8663689093,93400.3778246882,24661.6436391984,164348.992952441,139234.011096381,126023.183575058,27244145.8441694,24167094.2002694,365,164348.992952441,13210.8275213236
"14","Mixed","Base","M",18.0625,6119.2688335191,0.0258786840514095,0.00920739967932279,20980925.4088743,699972.00661647,215147.26509878,49372.4866640735,166347.863360372,24661.6436391984,164348.992952441,230142.272331073,205681.574893355,21809446.7898419,19938001.3856758,365,164348.992952441,24460.697437718
