"","type","scenario","frag_mod","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","max_breakdown_daily","min_breakdown_daily","C_gw_gC"
"1","Acer","Base","M",36214418.0257458,36199724.5253343,9447770.87134207,26751953.6539922,37997862.3265743,34404375.2535917,4127097.2041386
"2","Acer","ShalGW","M",36214418.0257458,36195623.5840688,9315760.22501473,26879863.359054,37915191.4908237,34475170.3767873,4127097.2041386
"3","Acer","DeepGW","M",36214418.0257458,36200300.3085343,9352784.13865741,26847516.1698769,38008645.3936917,34392560.4033316,4127097.2041386
"4","Acer","NoGW","M",36214418.0257458,36203031.2776083,9322384.91406806,26880646.3635403,38012534.5982191,34406958.0045743,4127097.2041386
"5","Acer","NoGW_Warm","M",36214418.0257458,36207281.4085551,10434478.8428167,25772802.5657384,37952501.4614504,34463455.8132283,4127097.2041386
"6","Acer","DeepGW_Warm","M",36214418.0257458,36201782.0675277,9672209.65491535,26529572.4126123,38044621.0216806,34362889.9284677,4127097.2041386
"7","Acer","ShalGW_Warm","M",36214418.0257458,36201369.8437033,10649975.419067,25551394.4246363,38043086.6488655,34361073.603358,4127097.2041386
"8","Rhodo","ShalGW","M",36214418.0257458,34342752.9872011,8449358.76976459,25893394.2174365,35086575.905484,33638380.2856669,4127097.2041386
"9","Rhodo","DeepGW","M",36214418.0257458,34289345.1592178,8125817.63043745,26163527.5287803,34980052.4078037,33593352.046802,4127097.2041386
"10","Rhodo","NoGW","M",36214418.0257458,35536210.0243306,11547703.7156054,23988506.3087252,37499953.6907494,33475096.8384132,4127097.2041386
"11","Rhodo","NoGW_Warm","M",36214418.0257458,35949882.0697644,13096495.0910386,22853386.9787258,38598351.2815721,33178541.0630127,4127097.2041386
"12","Rhodo","DeepGW_Warm","M",36214418.0257458,34573984.7811547,8577273.94203704,25996710.8391176,35352099.167947,33861134.543238,4127097.2041386
"13","Rhodo","ShalGW_Warm","M",36214418.0257458,35292689.0306477,10273539.9710428,25019149.0596049,36186282.45295,34408992.5449702,4127097.2041386
"14","Mixed","Base","M",36214418.0257458,35590489.3792062,9228606.63317515,26361882.7460311,36777090.8271873,34406512.4054612,4127097.2041386
